city_id,city_name_cn,province_name,metric_year,sample_tier,data_status,source_doc_id,source_grade,collection_status,note
CN-460300,三沙市,海南省,2018,core,calculated,SRC-CITY-PANEL-1990-2023;SRC-A2-HN-SANSHA-GDP-RESIDUAL-2018;SRC-A2-HAINAN-YEARBOOK-2019-SANSHA-REVENUE-2018;SRC-A2-HAINAN-YEARBOOK-2019-SANSHA-EXPENDITURE-2018;SRC-B2-GOTOHUI-POPULATION-240132;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,A2,extracted,"公开研究型城市面板；字段口径与来源链条未完全公开，作为 provisional 暂存值，待官方年鉴/公报复核。；已接入2018年三沙市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。；已接入2018年三沙市官方合计差额计算值（字段=gdp_current_100m,general_public_revenue_100m,general_public_expenditure_100m）；结果标记为calculated，计算公式、输入记录和舍入不确定性见计算血缘。"
CN-460300,三沙市,海南省,2019,core,calculated,SRC-CITY-PANEL-1990-2023;SRC-A2-HN-SANSHA-GDP-RESIDUAL-2019;SRC-A2-HAINAN-YEARBOOK-2020-SANSHA-REVENUE-2019;SRC-A2-HAINAN-YEARBOOK-2020-SANSHA-EXPENDITURE-2019;SRC-B2-GOTOHUI-POPULATION-240132;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,A2,extracted,"公开研究型城市面板；字段口径与来源链条未完全公开，作为 provisional 暂存值，待官方年鉴/公报复核。；已接入2019年三沙市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。；已接入2019年三沙市官方合计差额计算值（字段=gdp_current_100m,general_public_revenue_100m,general_public_expenditure_100m）；结果标记为calculated，计算公式、输入记录和舍入不确定性见计算血缘。"
CN-540600,那曲市,西藏自治区,2019,core,yearbook,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2020,B2,needs_review,公开研究型城市面板；字段口径与来源链条未完全公开，作为 provisional 暂存值，待官方年鉴/公报复核。；已接入中国城市统计年鉴地级市全市精确表；B2 年鉴值升级/补充 D 级暂存字段，待官方原件复核。
CN-460300,三沙市,海南省,2020,core,calculated,SRC-CITY-PANEL-1990-2023;SRC-A2-HN-SANSHA-GDP-RESIDUAL-2020;SRC-A2-HAINAN-YEARBOOK-2021-SANSHA-REVENUE-2020;SRC-A2-HAINAN-YEARBOOK-2021-SANSHA-EXPENDITURE-2020;SRC-D-HAIDATAS-NATIONAL-CITY-ECONOMIC-2015-2021,A2,extracted,"公开研究型城市面板；字段口径与来源链条未完全公开，作为 provisional 暂存值，待官方年鉴/公报复核。；已接入2020年三沙市官方合计差额计算值（字段=gdp_current_100m,general_public_revenue_100m,general_public_expenditure_100m）；结果标记为calculated，计算公式、输入记录和舍入不确定性见计算血缘。"
CN-460300,三沙市,海南省,2022,core,calculated,SRC-CITY-PANEL-1990-2023;SRC-A2-HN-SANSHA-GDP-RESIDUAL-2022,A2,extracted,公开研究型城市面板；字段口径与来源链条未完全公开，作为 provisional 暂存值，待官方年鉴/公报复核。；已接入2022年三沙市官方合计差额计算值（字段=gdp_current_100m）；结果标记为calculated，计算公式、输入记录和舍入不确定性见计算血缘。
CN-540100,拉萨市,西藏自治区,2022,core,preliminary,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-OFFICIAL-DEBT-TIBET-CITIES-2022;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-540100-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,extracted,债务来源已归档，但官方表中余额超过限额且未提供例外说明；按强校验阻塞入主表，待复核原表口径。；已接入2022年拉萨市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
CN-540200,日喀则市,西藏自治区,2022,core,needs_review,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-OFFICIAL-DEBT-TIBET-CITIES-2022,A1,needs_review,债务来源已归档，但官方表中余额超过限额且未提供例外说明；按强校验阻塞入主表，待复核原表口径。
CN-540300,昌都市,西藏自治区,2022,core,needs_review,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-OFFICIAL-DEBT-TIBET-CITIES-2022,A1,needs_review,债务来源已归档，但官方表中余额超过限额且未提供例外说明；按强校验阻塞入主表，待复核原表口径。
CN-540400,林芝市,西藏自治区,2022,core,needs_review,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-OFFICIAL-DEBT-TIBET-CITIES-2022,A1,needs_review,债务来源已归档，但官方表中余额超过限额且未提供例外说明；按强校验阻塞入主表，待复核原表口径。
CN-540500,山南市,西藏自治区,2022,core,preliminary,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-OFFICIAL-DEBT-TIBET-CITIES-2022;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-540500-2022,B2,extracted,债务来源已归档，但官方表中余额超过限额且未提供例外说明；按强校验阻塞入主表，待复核原表口径。；已接入2022年山南市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
