city_id,city_name_cn,province_name,metric_year,field_name,collection_status,evidence_source_doc_ids,searched_channels,result,next_action
CN-460300,三沙市,海南省,2018,statutory_debt_balance_100m,evidence_based_missing,SRC-OFFICIAL-DEBT-HAINAN-DIRECT-COUNTY-2018;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS,海南省财政厅预决算公开；海南省财政厅债务公开附件；中国地方政府债务管理协会归档页面,官方债务表逐行公开海口、三亚、儋州及省直辖县级行政单位，但未列示三沙市；海南省财政厅公开年报明确三沙市整体涉密、不予公开。未找到可审计的三沙市年末法定债务余额。,若取得依法可公开的三沙市专项财政或债务披露，再补录并复核；在此之前保持 null。
CN-460300,三沙市,海南省,2019,statutory_debt_balance_100m,evidence_based_missing,SRC-OFFICIAL-DEBT-HAINAN-DIRECT-COUNTY-2019;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS,海南省财政厅预决算公开；海南省财政厅债务公开附件；中国地方政府债务管理协会归档页面,官方债务表逐行公开海口、三亚、儋州及省直辖县级行政单位，但未列示三沙市；海南省财政厅公开年报明确三沙市整体涉密、不予公开。未找到可审计的三沙市年末法定债务余额。,若取得依法可公开的三沙市专项财政或债务披露，再补录并复核；在此之前保持 null。
CN-460300,三沙市,海南省,2020,statutory_debt_balance_100m,evidence_based_missing,SRC-OFFICIAL-DEBT-HAINAN-DIRECT-COUNTY-2020;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS,海南省财政厅预决算公开；海南省财政厅债务公开附件；中国地方政府债务管理协会归档页面,官方债务表逐行公开海口、三亚、儋州及省直辖县级行政单位，但未列示三沙市；海南省财政厅公开年报明确三沙市整体涉密、不予公开。未找到可审计的三沙市年末法定债务余额。,若取得依法可公开的三沙市专项财政或债务披露，再补录并复核；在此之前保持 null。
CN-460300,三沙市,海南省,2022,statutory_debt_balance_100m,evidence_based_missing,SRC-OFFICIAL-DEBT-HAINAN-DIRECT-COUNTY-2022;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS,海南省财政厅预决算公开；海南省财政厅债务公开附件；中国地方政府债务管理协会归档页面,官方债务表逐行公开海口、三亚、儋州及省直辖县级行政单位，但未列示三沙市；海南省财政厅公开年报明确三沙市整体涉密、不予公开。未找到可审计的三沙市年末法定债务余额。,若取得依法可公开的三沙市专项财政或债务披露，再补录并复核；在此之前保持 null。
CN-460300,三沙市,海南省,2023,statutory_debt_balance_100m,evidence_based_missing,SRC-OFFICIAL-DEBT-HAINAN-DIRECT-COUNTY-2023;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS,海南省财政厅预决算公开；海南省财政厅债务公开附件；中国地方政府债务管理协会归档页面,官方债务表逐行公开海口、三亚、儋州及省直辖县级行政单位，但未列示三沙市；海南省财政厅公开年报明确三沙市整体涉密、不予公开。未找到可审计的三沙市年末法定债务余额。,若取得依法可公开的三沙市专项财政或债务披露，再补录并复核；在此之前保持 null。
CN-460300,三沙市,海南省,2024,statutory_debt_balance_100m,evidence_based_missing,SRC-OFFICIAL-DEBT-HAINAN-DIRECT-COUNTY-2024;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS,海南省财政厅预决算公开；海南省财政厅债务公开附件；中国地方政府债务管理协会归档页面,官方债务表逐行公开海口、三亚、儋州及省直辖县级行政单位，但未列示三沙市；海南省财政厅公开年报明确三沙市整体涉密、不予公开。未找到可审计的三沙市年末法定债务余额。,若取得依法可公开的三沙市专项财政或债务披露，再补录并复核；在此之前保持 null。
CN-460300,三沙市,海南省,2025,statutory_debt_balance_100m,evidence_based_missing,SRC-OFFICIAL-DEBT-HAINAN-DIRECT-COUNTY-2025;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS,海南省财政厅预决算公开；海南省财政厅债务公开附件；中国地方政府债务管理协会归档页面,官方债务表逐行公开海口、三亚、儋州及省直辖县级行政单位，但未列示三沙市；海南省财政厅公开年报明确三沙市整体涉密、不予公开。未找到可审计的三沙市年末法定债务余额。,若取得依法可公开的三沙市专项财政或债务披露，再补录并复核；在此之前保持 null。
CN-460300,三沙市,海南省,2018,gdp_real_growth_pct,evidence_based_missing,SRC-EVIDENCE-MISSING-SANSHA-SEARCH-2026;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS;SRC-EVIDENCE-MISSING-SANSHA-RATING-2024,三沙市政府门户网站站内检索；海南省财政厅政府信息公开和财政公开页面；评级报告及债务公开附件,三沙市官网按年度公报、地区生产总值、一般公共预算、财政决算和政府性基金预算等关键词检索，结果主要为预算会议、审计动员和阶段性执行信息，未取得可直接入表的年度全市数值；海南省财政厅公开年报明确三沙市整体涉密不予公开；评级资料亦说明近年缺少三沙市经济财政数据。不能用海南省合计、其他市县合计、预算数或上半年数反推。,若未来公开可依法使用的三沙市年度统计公报或全市财政决算表，按同口径补录并复核；当前保持 null。
CN-460300,三沙市,海南省,2018,general_public_revenue_100m,evidence_based_missing,SRC-EVIDENCE-MISSING-SANSHA-SEARCH-2026;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS;SRC-EVIDENCE-MISSING-SANSHA-RATING-2024,三沙市政府门户网站站内检索；海南省财政厅政府信息公开和财政公开页面；评级报告及债务公开附件,三沙市官网按年度公报、地区生产总值、一般公共预算、财政决算和政府性基金预算等关键词检索，结果主要为预算会议、审计动员和阶段性执行信息，未取得可直接入表的年度全市数值；海南省财政厅公开年报明确三沙市整体涉密不予公开；评级资料亦说明近年缺少三沙市经济财政数据。不能用海南省合计、其他市县合计、预算数或上半年数反推。,若未来公开可依法使用的三沙市年度统计公报或全市财政决算表，按同口径补录并复核；当前保持 null。
CN-460300,三沙市,海南省,2018,general_public_expenditure_100m,evidence_based_missing,SRC-EVIDENCE-MISSING-SANSHA-SEARCH-2026;SRC-EVIDENCE-MISSING-SANSHA-PUBLICATION-STATUS;SRC-EVIDENCE-MISSING-SANSHA-RATING-2024,三沙市政府门户网站站内检索；海南省财政厅政府信息公开和财政公开页面；评级报告及债务公开附件,三沙市官网按年度公报、地区生产总值、一般公共预算、财政决算和政府性基金预算等关键词检索，结果主要为预算会议、审计动员和阶段性执行信息，未取得可直接入表的年度全市数值；海南省财政厅公开年报明确三沙市整体涉密不予公开；评级资料亦说明近年缺少三沙市经济财政数据。不能用海南省合计、其他市县合计、预算数或上半年数反推。,若未来公开可依法使用的三沙市年度统计公报或全市财政决算表，按同口径补录并复核；当前保持 null。
